rs_id	rs_stopid	rs_lat	rs_long	rs_desc	sub_id
280	20000	-37.70112872	144.7741805	Reservoir Railway Station 	69
281	20001	-37.72927934	144.7937381	Regent Railway Station 	31
282	20002	-37.74486131	144.8000505	Preston Railway Station 	31
283	20003	-37.75751083	144.8095734	Bell Railway Station 	31
284	20004	-37.77765281	144.8247036	Thornbury Railway Station 	24
285	20005	-37.65238715	145.0301217	Croxton Railway Station 	133
286	20006	-37.66585075	145.0171932	Northcote Railway Station 	132
287	20007	-37.68033809	145.0142789	Merri Railway Station 	131
288	20008	-37.69487012	145.0118838	Rushall Railway Station 	131
289	20009	-37.70789754	145.0095166	Tottenham Railway Station 	130
290	20010	-37.71688492	145.0069958	West Footscray Railway Station 	130
291	20011	-37.72840277	145.0027726	Middle Footscray Railway Station 	130
292	20012	-37.73867424	145.000522	South Kensington Railway Station 	129
293	20013	-37.74556212	145.000155	Flemington Racecourse Railway Station 	129
294	20014	-37.75505179	144.9985715	Showgrounds Railway Station 	128
295	20015	-37.764101	144.9970562	Jacana Railway Station 	127
296	20016	-37.76986537	144.9952772	Glenroy Railway Station 	127
297	20017	-37.77784668	144.9929725	Oak Park Railway Station 	127
298	20019	-37.78321711	144.9924071	Pascoe Vale Railway Station 	126
299	20021	-37.78853633	144.8328782	Strathmore Railway Station 	25
300	20022	-37.7992509	144.8629449	Glenbervie Railway Station 	14
301	20023	-37.8018087	144.8853248	Moonee Ponds Railway Station 	8
302	20024	-37.8025047	144.8914721	Ascot Vale Railway Station 	8
303	20025	-37.80108298	144.9031992	Newmarket Railway Station 	8
304	20026	-37.79953087	144.925469	Kensington Railway Station 	59
305	20027	-37.78720192	144.9075887	Box Hill Railway Station 	60
306	20028	-37.7834722	144.9142569	Roxburgh Park Railway Station 	58
307	20030	-37.68304926	144.9196132	Coolaroo Railway Station 	94
308	20031	-37.69513079	144.9158505	Lynbrook Railway Station 	91
309	20032	-37.70453633	144.9172204	Cardinia Road Railway Station 	91
310	20033	-37.71794973	144.9215188	South Morang Railway Station 	93
311	20034	-37.73075596	144.9281956	Williams Landing Railway Station 	88
312	20035	-37.74359132	144.9273157	Southland Railway Station 	80
313	20036	-37.74720985	144.9209387	Middle Gorge Railway Station 	76
314	20037	-37.7560117	144.9161975	Hawkstowe Railway Station 	76
315	20038	-37.76570666	144.9191607	Mernda Railway Station 	74
