153,Place Of Assembly,Art Gallery/Museum,Immigration Museum,-37.81917988,144.9604268,1
154,Place of Worship,Church,St Pauls Cathedral,-37.8169549,144.9676816,1
155,Place Of Assembly,Theatre Live,Forum Theatre,-37.81648541,144.9693866,1
156,Transport,Railway Station,Flinders Street Railway Station,-37.8179063,144.9670648,1
157,Warehouse/Store,Store Yard,Melbourne Wholesale Fish Market,-37.8083471,144.9306133,3
158,Place Of Assembly,Art Gallery/Museum,Fire Services Museum Victoria,-37.80857613,144.9753737,2
159,Place Of Assembly,Art Gallery/Museum,The Ian Potter Museum Of Art,-37.79739396,144.9641567,103
160,Education Centre,Tertiary University,University of Melbourne,-37.79828923,144.9609952,102
161,Place Of Assembly,Art Gallery/Museum,Koorie Heritage Trust Inc,-37.81338543,144.9540279,1
162,Education Centre,Tertiary University,RMIT University,-37.80807954,144.964453,1
163,Transport,Railway Station,Melbourne Central Railway Station,-37.8100167,144.9637893,1
164,Leisure/Recreation,Informal Outdoor Facility Park/Garden/Reserve,Argyle Square,-37.80314806,144.9657613,103
165,Leisure/Recreation,Informal Outdoor Facility Park/Garden/Reserve,Piazza Italia,-37.80251642,144.9658631,103
166,Leisure/Recreation,Informal Outdoor Facility Park/Garden/Reserve,Macarthur Square,-37.79833187,144.9715141,103
167,Leisure/Recreation,Informal Outdoor Facility Park/Garden/Reserve,Murchinson Square,-37.8002735,144.9730593,103
168,Leisure/Recreation,Informal Outdoor Facility Park/Garden/Reserve,Parliament Reserve,-37.80985262,144.9734622,2
169,Leisure/Recreation,Major Sports & Recreation Facility,North Melbourne Recreation Centre Aquatic,-37.799947,144.9432908,101
170,Leisure/Recreation,Gymnasium/Health Club,North Melbourne Recreation Centre Gymnasium,-37.79970512,144.9403683,101
171,Leisure/Recreation,Indoor Recreation Facility,Carlton Baths,-37.7934377,144.9716965,103
172,Leisure/Recreation,Major Sports & Recreation Facility,City Baths,-37.80715854,144.9631898,1
173,Leisure/Recreation,Informal Outdoor Facility Park/Garden/Reserve,Westgate Park,-37.83149186,144.9088248,344
174,Transport,Railway Station,North Melbourne Railway Station,-37.80738236,144.9424298,3
175,Place Of Assembly,Art Gallery/Museum,Cooks' Cottage,-37.81446049,144.9794713,2
176,Community Use,Public Buildings,Conservatory,-37.81400213,144.9785597,2
177,Purpose Built,Aquarium,Melbourne Aquarium,-37.82096278,144.9584257,1
178,Leisure/Recreation,Major Sports & Recreation Facility,Westpac Centre,-37.82424569,144.9797203,4
179,Place Of Assembly,Art Gallery/Museum,Royal Exhibition Building,-37.80460262,144.9715219,103
180,Leisure/Recreation,Major Sports & Recreation Facility,Etihad Stadium,-37.81617605,144.9474963,7
181,Leisure/Recreation,Observation Tower/Wheel,Eureka Skydeck 88,-37.82161876,144.9646222,6
182,Community Use,Public Buildings,County Court Melbourne,-37.81320116,144.9577342,1
183,Leisure/Recreation,Informal Outdoor Facility Park/Garden/Reserve,Sandridge Rail Bridge,-37.8201763,144.9629811,1
184,Community Use,Visitor Centre,Melbourne Visitor Centre,-37.81773524,144.9679371,1
185,Place Of Assembly,Art Gallery/Museum,Australian Centre For The Moving Image ACMI,-37.81761073,144.9690704,1
186,Transport,Bridge,Webb Bridge,-37.82320524,144.947291,7
187,Place Of Assembly,Function/Conference/Exhibition Centre,Dallas Brooks Centre,-37.80973741,144.9813834,2
188,Education Centre,School - Primary and Secondary Education,Melbourne Girls Grammar School,-37.83153645,144.9850894,234
189,Retail,Department Store,Myer,-37.8135912,144.9638551,1
190,Retail,Department Store,David Jones,-37.81331273,144.9643735,1
191,Leisure/Recreation,Informal Outdoor Facility Park/Garden/Reserve,Lincoln Square,-37.80279197,144.9627609,103
192,Place Of Assembly,Art Gallery/Museum,The Museum Of Australian Chinese History,-37.81076861,144.9692339,1
